# amp_ratio	peakF(nN)	maxdepth(nm)	phase(deg)	Ediss(aJ)	Ediss_Tamayo(aJ)	Vts(aJ)	Vts_lozano(aJ)
1.587412269961855846e-02	1.299816207627739288e+02	-1.944944795900963586e-01	2.229981227326023330e+00	7.015188123617401017e-02	3.522792318087095143e-02	3.168170218179304720e+04	-2.431982258737357960e-01
1.631536907778135051e-02	1.194498851520919516e+02	-1.995587470039510980e-01	2.251954751637273766e+00	6.781505314845762133e-02	3.611593295326651076e-02	2.676087735677334422e+04	-2.499545544328353741e-01
1.680776213164986155e-02	1.089692967695117432e+02	-2.052319373694553029e-01	2.276882063385408106e+00	6.585119064070980854e-02	3.711252574705085211e-02	2.226608192093171238e+04	-2.574936797876798411e-01
1.736240670059877034e-02	9.854512144730537671e+01	-2.116466186318019249e-01	2.305400083715751336e+00	6.429427290457184752e-02	3.824135887126078881e-02	1.819514808812380579e+04	-2.659854969186037366e-01
1.799417197972778826e-02	8.818372988074142427e+01	-2.189800932046794546e-01	2.338359448505102023e+00	6.318802539050696887e-02	3.953405974120856314e-02	1.454567048402637010e+04	-2.756574721667896521e-01
1.872437727098813509e-02	7.789555105458995854e+01	-2.274902728637230309e-01	2.376996962109043210e+00	6.260405996546436480e-02	4.103657796761060045e-02	1.131538132482278161e+04	-2.868357158136183305e-01
1.958211547521294602e-02	6.768935550724144434e+01	-2.375224575457634268e-01	2.422970107504268000e+00	6.262080031582702155e-02	4.281065612851059354e-02	8.500891597256475507e+03	-2.999651811699872161e-01
2.061172671281151156e-02	5.757948650523280776e+01	-2.496079803717168033e-01	2.478826055541730078e+00	6.336880529935894069e-02	4.495113944398049233e-02	6.098766732475192839e+03	-3.157239248610333449e-01
2.188305221877658024e-02	4.758503450195220097e+01	-2.645833644585308120e-01	2.548572437759852427e+00	6.504856896000726918e-02	4.760736192589518079e-02	4.104855634482248206e+03	-3.351797751667574543e-01
2.225083680629191471e-02	4.510726592897586329e+01	-2.689246203608263719e-01	2.568877815152538435e+00	6.564843573305195745e-02	4.837803379278569210e-02	3.669577505829949132e+03	-3.408076848737001119e-01
2.264322921853255399e-02	4.263888621118740474e+01	-2.735603256409728790e-01	2.590596350143728799e+00	6.633345253569554456e-02	4.920125778302530256e-02	3.259413027839002098e+03	-3.468118884870411978e-01
2.306316131244604342e-02	4.018039124987580379e+01	-2.785255417145244272e-01	2.613895829625840328e+00	6.711169748732320750e-02	5.008328868776616705e-02	2.874257059216326979e+03	-3.532371917447925114e-01
2.351415347035072656e-02	3.773243749675101810e+01	-2.838624472461186987e-01	2.638978116305657817e+00	6.799302986536662208e-02	5.103165399416141612e-02	2.514007301699524760e+03	-3.601373909670171347e-01
