# amp_ratio	peakF(nN)	maxdepth(nm)	phase(deg)	Ediss(aJ)	Ediss_Tamayo(aJ)	Vts(aJ)	Vts_lozano(aJ)
1.426719536900662166e-01	7.920512413251861972e+01	-2.068530064764742882e+00	7.924817577095464749e+00	-4.832417959440795663e-01	-4.930161601051720410e+00	-1.556268740050505244e+02	-1.619641390912049701e+02
1.866923655958527550e-01	8.680116116242096780e+01	-2.202954672102258371e+00	1.045367149262050255e+01	-2.380234083971193737e+00	-7.061132319549220604e+00	-2.023367287798159850e+02	-2.104289038797114131e+02
2.306050251903155046e-01	9.207110491596482404e+01	-2.295179124136011772e+00	1.300502228566347185e+01	-3.495887308616604905e+00	-9.247823625396851099e+00	-2.470976661475714877e+02	-2.575322861701612851e+02
2.744391991062257175e-01	9.782010781488470741e+01	-2.392367574994678225e+00	1.558447067204622449e+01	-6.904746578200325224e+00	-1.142443755207149536e+01	-2.950603199903259792e+02	-3.029886504773336355e+02
3.182091949215095639e-01	1.030857665612871585e+02	-2.481526326872399490e+00	1.819710923174413253e+01	-2.740038904299526568e+00	-1.357137615880969506e+01	-3.325384521625720140e+02	-3.464802872065197334e+02
3.619232393664027492e-01	1.062929030562795276e+02	-2.536788916247158188e+00	2.084944223290079890e+01	-1.019862268653034931e+01	-1.566384505617570966e+01	-3.784054564092223814e+02	-3.876611962680466945e+02
4.055862360955513890e-01	1.070526296962129038e+02	-2.552923066121667528e+00	2.354893779712994117e+01	-2.812252136414095105e+00	-1.768297311379134129e+01	-4.130908942216035484e+02	-4.261547072407819314e+02
4.492005451825063500e-01	1.111476827397438853e+02	-2.620786509456599855e+00	2.630410971847113188e+01	-7.300812900587253296e+00	-1.962015621936668097e+01	-4.536539467476760592e+02	-4.615474667897277072e+02
4.927673019974525004e-01	1.140245023812255596e+02	-2.670675516589908760e+00	2.912562188146026898e+01	-5.043868102829856426e+00	-2.143852940646570104e+01	-4.856557383640922581e+02	-4.933779515671979539e+02
5.362860427355236048e-01	1.149395633329435640e+02	-2.690049717624642955e+00	3.202543256291627927e+01	5.165510980599658630e+00	-2.313554719643077817e+01	-5.079420357496381939e+02	-5.211277893704184407e+02
5.797549429224848616e-01	1.139991679909510935e+02	-2.680829271111106138e+00	3.501907736490107226e+01	-2.891461269644907350e+00	-2.465756518327011193e+01	-5.392391197784447741e+02	-5.441961498050460477e+02
6.231706495708295712e-01	1.115425754277657830e+02	-2.648189015478940256e+00	3.812476987317243271e+01	-4.362064365283018219e+00	-2.600519803356813497e+01	-5.585747188395563398e+02	-5.618835995406532220e+02
6.665278888316962247e-01	1.088138988140018313e+02	-2.610118228600592616e+00	4.136712281084441400e+01	-1.162522153504568667e+00	-2.710377119664974543e+01	-5.666517979602729156e+02	-5.733386914456332306e+02
7.098186450486423382e-01	1.074756060103450750e+02	-2.596225190564605434e+00	4.477730631100874348e+01	2.596292354311816819e+00	-2.793880786014087292e+01	-5.648493853133445555e+02	-5.775128129545310003e+02
7.530311120508338396e-01	1.039376245661216984e+02	-2.547775646959893336e+00	4.839937819945554764e+01	2.899465145529756427e+00	-2.841781278187330173e+01	-5.529102357172531583e+02	-5.730411605813712868e+02
7.961469167231938204e-01	9.850453166158902718e+01	-2.470247099645180189e+00	5.229596842243808652e+01	-4.230298300516120769e+00	-2.847501101289628878e+01	-5.291604999614532971e+02	-5.580796574197676136e+02
8.391363255098805984e-01	9.598093974997952671e+01	-2.439939620851224067e+00	5.656418670700309548e+01	9.253392240022433768e+00	-2.799594686170789259e+01	-5.199517160189035394e+02	-5.299487052138462104e+02
8.819458253918771584e-01	8.987695941505860731e+01	-2.351517088288920476e+00	6.137021200486934447e+01	-4.841242619226290955e+00	-2.675108484238592155e+01	-4.743624026903959816e+02	-4.843503233245335764e+02
9.244630736806405125e-01	7.469937844287230178e+01	-2.106310362999373353e+00	6.704338897218943316e+01	8.097785623752987716e-01	-2.438403956314684606e+01	-4.138202312247540817e+02	-4.132755746808842900e+02
9.663574058221906515e-01	5.772978888230975514e+01	-1.818309764086055491e+00	7.446970387299556648e+01	-6.563276022433115919e+00	-1.996200946215871497e+01	-2.919575956087023769e+02	-2.965593257963823248e+02
1.000901549727764239e+00	-1.574210118661242375e-06	-0.000000000000000000e+00	9.037717300710812651e+01	-2.720996930431121563e-01	-6.654612940593712445e+00	1.881172222220409296e+01	7.551860707046954779e+00
