1.125792868564859939e-05	3.916857955016030371e+07
2.664876932771340158e-05	1.890450947025790112e+06
6.262827922960549946e-05	4.951119021491429955e+07
1.453155885785440034e-04	1.516078086084380001e+07
3.358038301496540120e-04	5.498101367946209759e+07
7.882144074610350449e-04	9.874541574453879893e+07
2.010903689675820009e-03	9.005143212448300421e+07
4.492455924949999638e-03	8.668257235299180448e+07
1.005253210518739990e-02	3.313084263180819750e+08
2.347987605173530029e-02	1.315835705346129984e+08
5.559000462428539957e-02	3.313920936242690086e+08
1.298425515716659928e-01	1.316168001237509996e+08
3.273274703659940221e-01	7.515765872021719813e+07
7.103810889923519722e-01	1.202106585083060054e+05
1.783394387512079904e+00	1.125437590460559912e+07
3.936564189486539966e+00	9.390622326661190527e+03
9.833176307615540068e+00	2.691419270388840232e+06
2.225040783191419891e+01	2.215859778357910182e+04
5.172030024816999827e+01	1.405830260846169898e+06
1.222539381155410041e+02	8.916898830346950563e+05
2.994234271733830042e+02	6.111682198153090430e+05
6.715919688246090118e+02	6.876580302636990091e+05
1.513352974419429984e+03	9.282179478860819945e+05
3.746009910622400184e+03	9.645360316154150059e+05
8.459593407160520655e+03	7.345038529652800207e+03
1.965286243598829969e+04	3.279789987670559640e+04
5.035752431388210243e+04	9.519542482698299864e+03
1.095887248106210027e+05	1.220457456301579987e+04
