	Relaxation time, s	Modulus, Pa
0	3.21870410136e-12	1859006.94226
1	1.36365911855e-11	56153001.5039
2	5.65360180349e-11	129498148.582
3	2.33970353838e-10	321406036.064
4	1.16607339238e-09	413196218.402
5	4.8519111975e-09	822710712.461
6	2.24971062282e-08	631458572.703
7	9.65245739121e-08	360692931.836
8	3.83218570164e-07	153329407.408
9	1.6711360538e-06	45218823.6454
10	7.19599089355e-06	22300379.7338
11	2.88803161948e-05	6100996.46464
12	0.000147884859134	2606182.39758
13	0.000587127422264	1107879.77071
14	0.00236062762218	281631.522133
15	0.009355184492	128845.416202
16	0.0402838669291	63542.1595839
17	0.179839699404	7212.02574324
18	0.81600723977	13364.5272289
19	3.29273434403	92756.0957104
20	13.0256014131	45669.8994449
21	58.4660216008	131499.983268
22	296.69238936	81101.5504097
23	1045.64801109	138966.268134
24	5277.60686827	106834.742884
25	26350.3186264	127618.881399
26	87973.4354406	62631.3428446
27	412351.950397	30937.8496352
28	1830927.40644	0.13841561185
29	7757037.53608	0.132213876971
