# amp_ratio	peakF(nN)	maxdepth(nm)	phase(deg)	Ediss(aJ)	Ediss_Tamayo(aJ)	Vts(aJ)	Vts_lozano(aJ)
2.275905644678374029e-01	8.316045530986492906e+01	-3.370845727638708045e+00	2.273465224975178600e+01	2.468648872039558171e+02	2.603951917368117392e+02	-2.255717611385303769e+02	-2.405893323378131186e+02
2.682194255177503539e-01	8.873576770192384799e+01	-3.411060463529107967e+00	2.429958586976050583e+01	2.826957693351566832e+02	2.767761974613624716e+02	-2.697372181754585654e+02	-2.801883055843671855e+02
3.089822908012619385e-01	9.345356894840095663e+01	-3.474179963494163470e+00	2.606270480004201318e+01	3.083105553720243961e+02	2.900990805688840055e+02	-3.154760456186730835e+02	-3.181335056039834512e+02
3.497536872632792115e-01	9.667337297485825331e+01	-3.482872171883404366e+00	2.797816167196118897e+01	3.276014022728003283e+02	3.006950419112026225e+02	-3.526501367671895650e+02	-3.540242218394524798e+02
3.904490261877024970e-01	9.815235101385501082e+01	-3.515852807518035306e+00	3.001679063854336960e+01	3.327761842619589743e+02	3.087543500783938271e+02	-3.864209741035055572e+02	-3.874978033660921142e+02
4.310083525854898068e-01	1.022031215369610919e+02	-3.541843976000310423e+00	3.215892668000957855e+01	3.296686389532957833e+02	3.143086371101129544e+02	-4.108439077099798737e+02	-4.182142951297988134e+02
4.713862530105379367e-01	1.048141242098571553e+02	-3.493687335258341520e+00	3.439260542512685248e+01	3.112755611640727693e+02	3.173193648725466574e+02	-4.287989963115034016e+02	-4.458376612239890733e+02
5.115433646149345481e-01	1.055203273508664239e+02	-3.535473062791055554e+00	3.671299021589552325e+01	3.162627781238287525e+02	3.177879391420058255e+02	-4.449466571214636019e+02	-4.700127928886947757e+02
5.514437583214065741e-01	1.043472324350713194e+02	-3.513418105708071337e+00	3.911966932645303530e+01	3.456224334411809878e+02	3.157093100463615656e+02	-4.926627728928075385e+02	-4.903605082575860479e+02
5.910473444072986693e-01	1.051805848651740547e+02	-3.436135654739261192e+00	4.161324042748114493e+01	3.539514648127366172e+02	3.109424332197661442e+02	-5.093744199702001083e+02	-5.064834642838966943e+02
6.303116220011807380e-01	1.063254038978186031e+02	-3.450080677495233061e+00	4.419977458137310578e+01	3.447827498900512069e+02	3.034510597734300177e+02	-5.215628682718788696e+02	-5.179284371748909734e+02
6.691870813709823729e-01	1.056531503474066795e+02	-3.411312380754342843e+00	4.688763257113278371e+01	3.233552421229560423e+02	2.931409755420689862e+02	-5.286342807258963603e+02	-5.241918066820051081e+02
7.076128872306768347e-01	1.034715501764137571e+02	-3.325584312477196658e+00	4.968857853382247214e+01	3.039383866806209653e+02	2.799015227474721428e+02	-5.187520917040952781e+02	-5.246971670780594650e+02
7.455116741508327483e-01	1.001347639221092152e+02	-3.201826664131156353e+00	5.261930797863048781e+01	2.883449630771188481e+02	2.636517264076437073e+02	-4.973196447262656648e+02	-5.187621096966479399e+02
7.827838703994015601e-01	9.599314307445213501e+01	-3.126151696338754338e+00	5.570152091904075320e+01	2.621342637732757339e+02	2.442598081680376652e+02	-4.937233018777680513e+02	-5.055763356213772681e+02
8.192956094791608024e-01	9.132191556872652427e+01	-3.032852489345105429e+00	5.896379192623649601e+01	2.415211798098663394e+02	2.215299391666667930e+02	-4.809483797349820406e+02	-4.841547270153379827e+02
8.548541067119030945e-01	8.616968878502942175e+01	-2.897945049133068718e+00	6.244617472930421087e+01	2.247206524221280119e+02	1.952935095389331082e+02	-4.598617604331313942e+02	-4.532399855056549427e+02
8.891776377681801513e-01	7.999089700778961287e+01	-2.711618539903262626e+00	6.620627459716807550e+01	2.035849907557958716e+02	1.653777136520190822e+02	-4.254540479754474518e+02	-4.111693611686300756e+02
9.218136811521832064e-01	7.068256581071787537e+01	-2.449921262928449917e+00	7.032705691738941312e+01	1.406344273368943902e+02	1.315484092242503209e+02	-3.414718350952960009e+02	-3.556889328260427305e+02
9.519752216437294967e-01	5.553684413274446996e+01	-2.231974020200109265e+00	7.493780111173320790e+01	1.193589348049504935e+02	9.371134894736165677e+01	-2.788209275280708539e+02	-2.835471912657250186e+02
9.780942036303729159e-01	4.315808516815197748e+01	-1.829977080569414660e+00	8.023896788255891011e+01	5.365284003900221421e+01	5.233016446182893588e+01	-1.669373489677969076e+02	-1.900635158247061440e+02
9.964925136931152005e-01	2.109388847550796342e+01	-1.238579976732283372e+00	8.642074981607626682e+01	2.169252077758163821e+01	1.117273101696558690e+01	-6.341301551654919422e+01	-7.130315246440244437e+01
1.000901549727764017e+00	-1.574210118661242375e-06	-0.000000000000000000e+00	9.037717300710812651e+01	-2.720996930431381911e-01	-6.654612940592909531e+00	1.881172222220524759e+01	7.551860707046954779e+00
