# amp_ratio	peakF(nN)	maxdepth(nm)	phase1(deg)	phase2(deg)	Ediss(aJ)	Ediss_Tamayo(aJ)	Vts(aJ)	Vts_lozano(aJ)
3.295453473637864339e-01	1.382077587569284560e+02	-5.117606296301144830e+00	2.668115516459666381e+01	2.556972487351833934e+01	3.543632423581266266e+02	2.813442706466845493e+02	-3.298719361548195366e+02	-3.429909257614999660e+02
3.697233409861567788e-01	1.432561560662476836e+02	-5.018515302511511678e+00	2.872426337972363797e+01	2.260952516578286975e+01	3.709827276091038470e+02	2.910316349649110634e+02	-3.671684072683752902e+02	-3.779896634076047235e+02
4.097650382009130343e-01	1.470414280031066028e+02	-5.199838857840328288e+00	3.086430414183351090e+01	1.998455972162841832e+01	3.870959795880509660e+02	2.980599647170321873e+02	-4.038127204967885859e+02	-4.103728597909019982e+02
4.496432800608635705e-01	1.507628143037928510e+02	-5.204715974783605148e+00	3.310561294354556594e+01	1.758751150389831963e+01	4.025076541034853221e+02	3.032629250501458387e+02	-4.379452855425740267e+02	-4.397248222703253191e+02
4.893047755771511298e-01	1.540942711876609508e+02	-5.361820161858964262e+00	3.542297466775907111e+01	1.566044580985317225e+01	4.156141884077004534e+02	3.057791218331886398e+02	-4.698411209778284388e+02	-4.657747576466931037e+02
5.287181942897039022e-01	1.567966881618480670e+02	-5.328426709114612692e+00	3.782974279355694591e+01	1.396494335058219072e+01	4.269685596361093758e+02	3.062982381371102178e+02	-4.999257573709995199e+02	-4.880875097333201893e+02
5.678440194133240748e-01	1.586094156295556559e+02	-5.471079780218643052e+00	4.031104944480024699e+01	1.272451685486255712e+01	4.350052401849746389e+02	3.039693510786237880e+02	-5.268999637139496599e+02	-5.063651149075903390e+02
6.066360300368960345e-01	1.604203798513281072e+02	-5.290197725241953641e+00	4.287605056924736147e+01	1.178194601258059571e+01	4.387731607400001508e+02	2.989057249463194239e+02	-5.500891615499971294e+02	-5.201679229334631600e+02
6.450545017394572200e-01	1.606067125133224351e+02	-5.417761419184127902e+00	4.552811387943913957e+01	1.129031189945454905e+01	4.357251627415305961e+02	2.908372517887773370e+02	-5.643933923707827489e+02	-5.290675581970124313e+02
6.830497513082873784e-01	1.617387168463317266e+02	-5.394106071570382355e+00	4.828483802340980446e+01	1.110598292342080740e+01	4.253542630220056253e+02	2.799403833799061090e+02	-5.664418346265230184e+02	-5.324890549179198160e+02
7.205588250449651566e-01	1.608492965875226730e+02	-5.542807171074500161e+00	5.116357331083715110e+01	1.126967605110151638e+01	4.083974873807769086e+02	2.664084492425701569e+02	-5.555807488031546200e+02	-5.297726949064941664e+02
7.574806607087820609e-01	1.601849911231426802e+02	-5.745113994426499282e+00	5.418001006015512644e+01	1.185006397681127766e+01	3.849620085761754353e+02	2.500521399791387296e+02	-5.341896190036843564e+02	-5.202042746582541213e+02
7.936723031016458263e-01	1.579390634099997897e+02	-5.207142774524671225e+00	5.735436028507715633e+01	1.312961241005922197e+01	3.535389896876334319e+02	2.308580051617778111e+02	-5.007172493842247150e+02	-5.029390262506095155e+02
8.287744032717270226e-01	1.538969612159500855e+02	-5.409898251595745222e+00	6.068440036242429159e+01	1.555131916267875702e+01	3.166336760953249723e+02	2.081904982418993484e+02	-4.569077525203539381e+02	-4.772964063426890107e+02
8.625512547798386276e-01	1.507115759615060995e+02	-5.334830268374504136e+00	6.417703614540582180e+01	1.957762301219261758e+01	2.757425044174322011e+02	1.816360665741028981e+02	-4.111499501406692616e+02	-4.426428512091056291e+02
8.950643586637923033e-01	1.438730313513961221e+02	-5.432867853781609746e+00	6.794232447666705355e+01	2.525963750744574199e+01	2.293990511257786693e+02	1.522888513265974098e+02	-3.542236146513506014e+02	-3.968545146330800435e+02
9.255976892574181436e-01	1.346014489680872828e+02	-5.145849437865003040e+00	7.203931345659272267e+01	3.265525748017768848e+01	1.791263271159920976e+02	1.200456186133285854e+02	-2.827550931613000671e+02	-3.380030586499340188e+02
9.531416797345237946e-01	1.119215464095210422e+02	-4.486662077210511690e+00	7.656053144672566191e+01	4.197290119499658090e+01	1.316891843553412116e+02	8.624760542442929534e+01	-2.138225647406393648e+02	-2.635821474935206084e+02
9.761431279059333832e-01	9.799915590123595166e+01	-4.130909728439382533e+00	8.158777882072782006e+01	5.336442353283075590e+01	8.187523709790964688e+01	5.035265556521068220e+01	-1.369120978222476310e+02	-1.714958582178766449e+02
9.912818469830362300e-01	5.653892007697511701e+01	-3.005202332154543132e+00	8.700610068347207005e+01	6.625783787941779224e+01	3.036706241631168268e+01	1.632114388964433971e+01	-5.030540233054617261e+01	-6.452542241702182935e+01
9.949766339551260330e-01	-1.495129574609854204e-06	-1.238663255705590837e-07	9.001454379849938903e+01	7.338134507135021067e+01	2.428257532302083559e-03	6.882546035340757484e-01	2.012107813361153408e+00	-3.197218174031120963e+00
