Series 1: 
1.65736744530764E-11, 3128783479.59635
3.1848951988678E-11, 3032399664.7616
5.48946544203706E-11, 2937958050.13493
9.99570489377775E-11, 2753473382.67825
1.81915226515376E-10, 2668184905.12076
3.13712414647146E-10, 2500203306.71476
6.02532258108359E-10, 2505451518.89492
9.85094127149283E-10, 2195684923.21148
1.89599551769783E-09, 1925225944.64608
2.9341767542145E-09, 1744173084.13108
5.6503271409091E-09, 1479113558.22162
9.76443741403764E-09, 1212723876.07593
1.69006766691349E-08, 899545413.950923
2.92523634248509E-08, 667243358.297238
5.64493909294357E-08, 495104877.742965
9.26784251263164E-08, 332187462.089549
1.68934171079834E-07, 291218548.335653
3.10202141275056E-07, 159977297.330744
4.8258209505281E-07, 103793163.560011
9.3223411963938E-07, 72041409.0423774
1.70552491071566E-06, 49994215.5041585
2.79865720663598E-06, 34682112.1025897
6.03076873008511E-06, 23290082.0517901
9.91168630654587E-06, 14616976.6786267
1.62644427750341E-05, 10140125.585667
3.31578185039182E-05, 7278341.36864719
5.14755960624626E-05, 5396868.13796722
9.93865073837299E-05, 3873066.9512229
0.000172022120204511, 2872871.29628454
0.000297586632208656, 2203317.5006739
0.000543009925370838, 1806813.73732925
0.0010467683393156, 1433262.78843175
0.00171138612027667, 1256058.42772312
0.00295437860031256, 1100955.45593659
0.00538241604061585, 997941.979615312
0.00980077986201286, 935277.710381814
0.0188337576052068, 906465.990349343
0.030743348590456, 878081.394460606
0.0623477066444541, 880078.361513348
0.0963354687525227, 881309.521010994
0.185221032927001, 826113.356796532
0.355745077363911, 827847.463046888
0.580701692779243, 801924.686079825
1.05628466059458, 803467.605068337
1.54732476902191, 752488.910318277
2.66835821734897, 705114.273839576
4.5991655318266, 683154.064803869
6.37721537235663, 661415.316592736
12.2484090502802, 662803.702853713
16.9747732017139, 663498.988495126
27.7233634121253, 621618.280412516
34.47914822893, 601627.374748261
45.2543270092444, 602153.254835889
78.1228816241904, 527797.032836503
127.457296458695, 528627.744671408
176.918087182035, 478746.980558065
305.094858675503, 448606.38465267
423.267260517875, 420069.638651415
654.690287987431, 393485.665503938
1069.8073582369, 356543.628764973
1654.72870875543, 333979.878898591
2706.77385852369, 283076.991370235
3755.18866791942, 265069.899902319
6852.13815952125, 217368.552807107
11214.4770762192, 178189.140948372
16462.2999741002, 146020.548196192
25529.978898274, 115750.494958641
35455.6730129733, 101386.283513441
52101.7974883618, 77716.3593676238
85540.5604554303, 52143.2959797518
140292.995027196, 37401.0683001062
230695.225225799, 22702.3489444791
358704.871103347, 15229.3348773693
559502.9892014, 8361.66164354469
877293.669054325, 3287.8103794838
1457051.03702065, 1058.27451066862

